,name,track_uri,explicit,duration_ms,track_number,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,season,artists
0,What’s Your Story,spotify:track:7yQsUsTGnTjspXYEMdj3sH,False,219026,1,26,7.0,1.0,1,0.709,0.798,0.462,0.0,0.391,-8.426,0.868,0.395,119.219,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
1,No One Else Is Singing My Song,spotify:track:0HcYJ6tGLPBo7lMCduqEiv,False,205025,2,35,0.0,1.0,4,0.658,0.663,0.52,0.0,0.135,-6.375,0.0423,0.315,75.035,Season 4,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Vincent Rodriguez III', 'Scott Michael Foster']"
2,Maybe I’m Just Broken,spotify:track:5lXFP1uFo9xSxetEdnqdFX,False,38220,3,19,0.0,0.0,4,0.272,0.759,0.909,0.0,0.285,-4.962,0.132,0.645,180.005,Season 4,"['Crazy Ex-Girlfriend Cast', 'Danny Jolles']"
3,Crazy Ex-Girlfriend Theme,spotify:track:1QrUuRJRWcE9voF0cpCp58,False,34055,1,28,11.0,1.0,4,0.371,0.533,0.573,0.0,0.167,-5.222,0.21,0.985,84.981,Season 1,['Crazy Ex-Girlfriend Cast']
4,West Covina,spotify:track:6Z7cLBlMkmO5CwChCkkeHj,False,199191,2,29,9.0,1.0,4,0.847,0.474,0.405,1.96e-06,0.327,-7.113,0.0626,0.524,105.211,Season 1,['Rachel Bloom']
5,West Covina Reprise,spotify:track:694XxRJlTHYJs48IQdxhW3,False,74661,3,26,11.0,1.0,3,0.951,0.497,0.215,0.0,0.107,-10.838,0.0592,0.282,132.264,Season 1,"['Rachel Bloom', 'Donna Lynn Champlin']"
6,The Sexy Getting Ready Song,spotify:track:47HkZwcODdmEbBbB5Vr5EF,True,147423,4,29,1.0,0.0,4,0.121,0.742,0.376,0.0,0.0751,-13.798,0.203,0.603,80.039,Season 1,['Rachel Bloom']
7,Feelin’ Kinda Naughty,spotify:track:6fmjlrgdpMIR41fMcVmTXN,False,109327,5,30,10.0,0.0,4,0.0297,0.856,0.799,3.18e-05,0.0654,-4.728,0.225,0.665,132.993,Season 1,['Rachel Bloom']
8,I’m So Good At Yoga,spotify:track:7AGKmtMipnhvkbtRKpJXD1,True,119431,6,28,7.0,1.0,4,0.184,0.685,0.801,0.0,0.178,-6.708,0.129,0.362,104.91,Season 1,"['Crazy Ex-Girlfriend Cast', 'Gabrielle Ruiz']"
9,Face Your Fears,spotify:track:7wPtf6mqhwtcVkPhvdWdoC,False,189357,7,32,7.0,1.0,4,0.598,0.366,0.621,0.0,0.0894,-4.683,0.115,0.453,79.281,Season 1,"['Crazy Ex-Girlfriend Cast', 'Donna Lynne Champlin']"
10,I Have Friends,spotify:track:5SPEADmBH5fPbNZ5JuP9dq,False,72734,8,31,10.0,1.0,4,0.0967,0.885,0.868,0.0,0.0213,-4.031,0.271,0.847,146.908,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom', 'Ava Acres']"
11,A Boy Band Made Up Of Four Joshes,spotify:track:2NTVdPjTbSWXLFuEz0Q47m,False,116605,9,27,7.0,1.0,4,0.324,0.723,0.753,0.0,0.0665,-7.897,0.267,0.805,93.049,Season 1,"['Crazy Ex-Girlfriend Cast', 'Vincent Rodriguez III']"
12,Settle For Me,spotify:track:1zcflZcndRkeGW9aNfASiR,False,191800,10,38,0.0,1.0,4,0.536,0.549,0.475,0.0,0.106,-5.596,0.0877,0.52,154.911,Season 1,"['Crazy Ex-Girlfriend Cast', 'Santino Fontana']"
13,Settle For Me - Reprise,spotify:track:0osOS9ZyzC6CcegQmBJonl,False,53063,11,25,10.0,1.0,4,0.933,0.517,0.23,0.0,0.432,-8.358,0.0789,0.689,126.319,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
14,Sex With a Stranger,spotify:track:75QOKb31jCcS94FWq5pxqo,False,112659,12,29,4.0,0.0,4,0.305,0.897,0.688,0.0,0.0816,-6.221,0.229,0.799,99.941,Season 1,"['Crazy Ex-Girlfriend Cast', 'Rachel Bloom']"
